"2020-10-02 09:33:50 [restartedMain] INFO  by.nevar.books.BooksApplication -Starting BooksApplication on HOME with PID 6428 (C:\Users\admin\Desktop\books\target\classes started by admin in C:\Users\admin\Desktop\books)
""2020-10-02 09:33:50 [restartedMain] INFO  by.nevar.books.BooksApplication -No active profile set, falling back to default profiles: default
""2020-10-02 09:33:51 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-10-02 09:33:51 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-10-02 09:33:52 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFERRED mode.
""2020-10-02 09:33:52 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 30ms. Found 0 JPA repository interfaces.
""2020-10-02 09:33:53 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
""2020-10-02 09:33:53 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
""2020-10-02 09:33:53 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/9.0.38]
""2020-10-02 09:33:53 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
""2020-10-02 09:33:53 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 2330 ms
""2020-10-02 09:33:53 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
""2020-10-02 09:33:53 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
""2020-10-02 09:33:53 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration -H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:9ea2368e-1d34-42a1-8c4e-0c27586ab534'
""2020-10-02 09:33:53 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
